;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Column Labels;;;;;;;;;;;;;;;;;;;;;;;;;Column Labels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Average of Availability (%);;;;;;;;;;Average of SLA VSAT;;;;;;;;;;Total Average of Availability (%);Total Average of SLA VSAT;;;;Average of Availability (%);;;;;;;;;;Average of SLA VSAT;;;;;;;;;;Total Average of Availability (%);Total Average of SLA VSAT;;;;;;;;;;;;;
;;;;;6;7;8;9;;;;;;;6;7;8;9;;;;;;;;;;;60;6;7;8;9;;;;;;;6;7;8;9;;;;;;;;;;;;;;;;;;;;;
;;;Site ID;Site Name;;;;22-Feb;23-Feb;24-Feb;25-Feb;26-Feb;27-Feb;28-Feb;;;;22-Feb;23-Feb;24-Feb;25-Feb;26-Feb;27-Feb;28-Feb;;;;Site ID;Site Name;;;;22-Feb;23-Feb;24-Feb;25-Feb;26-Feb;27-Feb;28-Feb;;;;22-Feb;23-Feb;24-Feb;25-Feb;26-Feb;27-Feb;28-Feb;;;;;;;;;;;;;;;
;;;ACE00007;MUKTI LINCIR;99,8;99,89;99,58571429;98,68;56,79;67,7;98,75;99,68;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,02;100,00%;;ACE00007;MUKTI LINCIR;99,80;99,89;99,59;98,68;56,79;67,7;98,75;99,68;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,02;100,00%;;;;;;;;;;;;;
;;;ACE00008;SUMBER MUKTI;99,35571429;99,92857143;99,28428571;98,73;52,46;67,7;98,75;98,57;100;100;0,99702381;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,65;99,93%;;ACE00008;SUMBER MUKTI;99,36;99,93;99,28;98,73;52,46;67,7;98,75;98,57;100;100;99,70%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,65;99,93%;;;;;;;;;;;;;
;;;ACE003;SINTUBAN MAKMUR;99,93857143;99,89857143;99,64571429;98,71;52,33;68,75;99,8;100;99,95;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,00;100,00%;;ACE003;SINTUBAN MAKMUR;99,94;99,90;99,65;98,71;52,33;68,75;99,8;100;99,95;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,00;100,00%;;;;;;;;;;;;;
;;;ACE005;UJUNG SIALIT;99,73857143;99,83;99,75428571;98,71;56,44;68,75;87,75;99,69;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,66;100,00%;;ACE005;UJUNG SIALIT;99,74;99,83;99,75;98,71;56,44;68,75;87,75;99,69;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,66;100,00%;;;;;;;;;;;;;
;;;ACE006;SUKA MAKMUR;99,87142857;99,77857143;99,59857143;98,71;52,14;68,75;98,71;99,97;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,89;100,00%;;ACE006;SUKA MAKMUR;99,87;99,78;99,60;98,71;52,14;68,75;98,71;99,97;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,89;100,00%;;;;;;;;;;;;;
;;;BEN00002;TALANG DURIAN;99,48571429;99,63285714;99,27857143;99,34;64,75;67,41;95,37;99,35;99,71;98,46;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,90;100,00%;;BEN00002;TALANG DURIAN;99,49;99,63;99,28;99,34;64,75;67,41;95,37;99,35;99,71;98,46;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,90;100,00%;;;;;;;;;;;;;
;;;KEP00047;TAREMPA BARAT DAYA;99,92285714;99,33857143;98,87285714;100;66,55;67,7;89,37;100;100;99,97;1;0,998511905;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,80;99,96%;;KEP00047;TAREMPA BARAT DAYA;99,92;99,34;98,87;100;66,55;67,7;89,37;100;100;99,97;100,00%;99,85%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,80;99,96%;;;;;;;;;;;;;
