;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;PvotTGL;;PvotCounofSiteID;;;;;;;;;PivotUpSLADLULVOLTSOC;;;;;;;;;PivotSiteIDSiteName;;136;96;PivotDeskripsiAll;;;;;;;;PivotListKPIPOWER;;;PivotListKPITRANSPORT;;;;;;
;;;Row Labels;;Count of Site ID;Column Labels;;;;;;;;Uptime;SLAVSAT;DL (Mbps);UL (Mbps);BattVolt1(V);BattSOC(%);Signal Quality(%);Stream Error(%);;Row Labels;Site Name;List KPI POWER;List KPI TRANSPORT; ;Site Name;Alrm BTS;Equipment Type;STATUS SLA BTS;STSTUS VSAT;;;Row Labels;Site Name;;Row Labels;Site Name;;;;;
;;;28/02/2026;;Type Baterai;BAD;NOK;OK;SP1;Grand Total;;;;78,21;82,70%;4,34;1,17;47,52;73,77;81,18;18,36%;;ACE00007;MUKTI LINCIR;ADA;ADA;ACE00007;MUKTI LINCIR;#N/A;NO TIKET;OK;NOK;;;ACE00007;MUKTI LINCIR;;ACE00007;MUKTI LINCIR;;;;;
;;;Grand Total;;FH / NAGOYA;1;183;150;18;352;;;;;;;;;;;;;ACE00008;SUMBER MUKTI;ADA;ADA;ACE00007;MUKTI LINCIR;;;;SP1;;;ACE00008;SUMBER MUKTI;;ACE00008;SUMBER MUKTI;;;;;
;;;;;Green Rhino;48;4;13;25;90;;;;;;;;;;;;;ACE003;SINTUBAN MAKMUR;ADA;ADA;ACE00007;MUKTI LINCIR;;NO TIKET;OK;NOK;;;ACE003;SINTUBAN MAKMUR;;ACE003;SINTUBAN MAKMUR;;;;;
;;;;;HUAWEI;59;21;208;15;303;;;Grafik PivotUpSLADLULVOLTSOC;;;;;;;;;;ACE005;UJUNG SIALIT;ADA;ADA;ACE00008;SUMBER MUKTI;#N/A;NO TIKET;NOK;NOK;;;ACE005;UJUNG SIALIT;;ACE005;UJUNG SIALIT;;;;;
;;;;;New_Green Rhino;7;;2;7;16;;;Hijau;0,00;0,00%;0,00;0,00;0;0,00;81,18;0,18;;ACE006;SUKA MAKMUR;ADA;ADA;ACE00008;SUMBER MUKTI;;;;SP1;;;ACE006;SUKA MAKMUR;;ACE006;SUKA MAKMUR;;;;;
;;;;;Grand Total;115;208;373;65;761;;;Kuning;78,21;82,70%;0,00;0,00;0,00;73,77;0;0,00;;BEN00002;TALANG DURIAN;ADA;ADA;ACE003;SINTUBAN MAKMUR;#N/A;NO TIKET;NOK;NOK;;;BEN00002;TALANG DURIAN;;BEN00002;TALANG DURIAN;;;;;
;;;;;;;;;;;;;Merah;0,00;82,70%;4,34;1,17;47,52;0,00;0,00;0,00;;KEP00047;TAREMPA BARAT DAYA;ADA;ADA;ACE003;SINTUBAN MAKMUR;;;;SP1;;;KEP00047;TAREMPA BARAT DAYA;;KEP00047;TAREMPA BARAT DAYA;;;;;
;;;;;PivotAverageofAvaibility;;;;;;;;Rentang;21,79;17,30%;15,66;8,83;12,48;26,23;18,82;4,82;;KEP00048;KUKUP II;ADA;ADA;ACE005;UJUNG SIALIT;#N/A;VSAT;NOK;NOK;;;KEP00048;KUKUP II;;KEP00048;KUKUP II;;;;;
;;;;;Average of Availability (%);Column Labels;;;;;;;;Downtime;;;;;;;;;KEP00049;LIUK;ADA;ADA;ACE005;UJUNG SIALIT;;;;SP1;;;KEP00049;LIUK;;KEP00049;LIUK;;;;;
;;;;;Type Baterai;BAD;NOK;OK;SP1;Grand Total;;;;;;;;;;;;;KEP00050;REWAK;ADA;ADA;ACE006;SUKA MAKMUR;#N/A;NO TIKET;NOK;NOK;;;KEP00050;REWAK;;KEP00050;REWAK;;;;;
